name,sheet,value,id
name_0,sheet_0,0.0,0
name_1,sheet_0,1.005,1
name_2,sheet_0,2.01,2
name_3,sheet_0,3.015,3
name_4,sheet_0,4.02,4
name_5,sheet_0,5.025,5
name_6,sheet_0,6.03,6
name_7,sheet_0,7.035,7
name_8,sheet_0,8.04,8
name_9,sheet_0,9.045,9
name_10,sheet_0,10.05,10
name_11,sheet_0,11.055,11
name_12,sheet_0,12.06,12
name_13,sheet_0,13.065,13
name_14,sheet_0,14.07,14
name_15,sheet_0,15.075,15
name_16,sheet_0,16.08,16
name_17,sheet_0,17.085,17
name_18,sheet_0,18.09,18
name_19,sheet_0,19.095,19
name_20,sheet_0,20.1,20
name_21,sheet_0,21.105,21
name_22,sheet_0,22.11,22
name_23,sheet_0,23.115,23
name_24,sheet_0,24.12,24
name_25,sheet_0,25.125,25
name_26,sheet_0,26.13,26
name_27,sheet_0,27.135,27
name_28,sheet_0,28.14,28
name_29,sheet_0,29.145,29
name_30,sheet_0,30.15,30
name_31,sheet_0,31.155,31
name_32,sheet_0,32.16,32
name_33,sheet_0,33.165,33
name_34,sheet_0,34.17,34
name_35,sheet_0,35.175,35
name_36,sheet_0,36.18,36
name_37,sheet_0,37.185,37
name_38,sheet_0,38.19,38
name_39,sheet_0,39.195,39
name_40,sheet_0,40.2,40
name_41,sheet_0,41.205,41
name_42,sheet_0,42.21,42
name_43,sheet_0,43.215,43
name_44,sheet_0,44.22,44
name_45,sheet_0,45.225,45
name_46,sheet_0,46.23,46
name_47,sheet_0,47.235,47
name_48,sheet_0,48.24,48
name_49,sheet_0,49.245,49
name_50,sheet_0,50.25,50
name_51,sheet_0,51.255,51
name_52,sheet_0,52.26,52
name_53,sheet_0,53.265,53
name_54,sheet_0,54.27,54
name_55,sheet_0,55.275,55
name_56,sheet_0,56.28,56
name_57,sheet_0,57.285,57
name_58,sheet_0,58.29,58
name_59,sheet_0,59.295,59
name_60,sheet_0,60.3,60
name_61,sheet_0,61.305,61
name_62,sheet_0,62.31,62
name_63,sheet_0,63.315,63
name_64,sheet_0,64.32,64
name_65,sheet_0,65.325,65
name_66,sheet_0,66.33,66
name_67,sheet_0,67.335,67
